slug,name_ja,name_en,cas_number,description_ja,evidence_level,safety_notes
finasteride,フィナステリド,Finasteride,98319-26-7,5α還元酵素阻害薬。一般的な情報として提供しており効果を保証するものではありません。医師の処方が必要です。,A,妊娠中の女性は取り扱い禁止。医師の指示に従ってください。
minoxidil,ミノキシジル,Minoxidil,38304-91-5,血管拡張作用を持つ成分。一般的な情報提供を目的としています。,A,心疾患のある方は医師に相談してください。
biotin,ビオチン（ビタミンH）,Biotin,58-85-5,水溶性ビタミンの一種。健康維持に関する一般情報です。,B,過剰摂取に注意してください。
zinc,亜鉛,Zinc,7440-66-6,必須ミネラルの一種。一般的な情報提供を目的としています。,B,上限量を超えた摂取は避けてください。
saw-palmetto,ノコギリヤシ,Saw Palmetto,84604-15-9,植物由来の成分。一般的な情報として提供しており効果を保証するものではありません。,C,医薬品との相互作用に注意してください。
dhea,DHEA,Dehydroepiandrosterone,53-43-0,副腎皮質ホルモンの前駆体。個人の体質により作用が異なります。購入前に医師へご相談ください。,C,ホルモン依存性疾患のある方は禁忌。
melatonin,メラトニン,Melatonin,73-31-4,睡眠ホルモンとも呼ばれる成分。一般的な情報提供を目的としています。,B,日本では医薬品扱いの場合があります。医師へご相談ください。
coq10,コエンザイムQ10,Coenzyme Q10,303-98-0,体内で産生される補酵素。一般的な情報として提供しており効果を保証するものではありません。,B,抗凝固薬との相互作用に注意してください。
ashwagandha,アシュワガンダ,Ashwagandha,90147-36-7,インド伝来のハーブ。一般的な情報提供を目的としており医療行為ではありません。,C,妊娠中・授乳中の方は使用前に医師へご相談ください。
gaba,GABA（ガンマアミノ酪酸）,Gamma-Aminobutyric Acid,56-12-2,アミノ酸の一種。一般的な情報として提供しており効果を保証するものではありません。,C,医薬品との相互作用の可能性があります。
